COUNTRY,ISO,TOTAL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,SEA/OCEAN,Version
Angola,AGO,2338,1,18,164,0,2002,151,2,2020.12
Burundi,BDI,534,1,18,119,0,383,13,0,2020.12
Benin,BEN,749,1,12,77,0,513,145,1,2020.12
Burkina Faso,BFA,1628,1,13,45,351,1165,53,0,2020.12
Botswana,BWA,501,1,9,28,0,357,106,0,2020.12
Central African Republic,CAF,1193,1,17,72,168,935,0,0,2020.12
Cote d’Ivoire,CIV,4291,1,14,31,107,497,3631,10,2020.12
Cameroon,CMR,501,1,10,58,6,425,0,1,2020.12
Democratic Republic of Congo,COD,11973,1,26,50,189,45,11661,1,2020.12
Republic of Congo,COG,214,1,0,12,1,199,0,1,2020.12
Comoros,COM,174,1,3,0,0,169,0,1,2020.12
Cape Verde,CPV,256,1,9,22,32,191,0,1,2020.12
Djibouti,DJI,30,1,6,0,0,22,0,1,2020.12
Algeria,DZA,3718,1,48,548,1541,53,1526,1,2020.12
Egypt,EGY,18996,1,27,365,52,5641,12898,12,2020.12
Eritrea,ERI,408,1,6,54,0,346,0,1,2020.12
Ethiopia,ETH,1466,1,11,85,0,1369,0,0,2020.12
Gabon,GAB,432,1,9,48,16,357,0,1,2020.12
Ghana,GHA,2172,1,16,253,0,1603,298,1,2020.12
Guinea,GIN,2507,1,8,34,340,24,2099,1,2020.12
Gambia,GMB,141,1,8,43,0,88,0,1,2020.12
Guinea Bissau,GNB,143,1,9,39,0,93,0,1,2020.12
Equatorial Guinea,GNQ,141,1,2,7,32,98,0,1,2020.12
Kenya,KEN,1340,1,47,290,688,150,163,1,2020.12
Liberia,LBR,385,1,15,135,135,98,0,1,2020.12
Libya,LBY,452,1,22,0,5,423,0,1,2020.12
Lesotho,LSO,2834,1,10,78,5,2740,0,0,2020.12
Morocco,MAR,3173,1,12,76,1528,1551,0,5,2020.12
Madagascar,MDG,2359,1,22,113,1530,692,0,1,2020.12
Mali,MLI,1139,1,11,54,1,1072,0,0,2020.12
Mozambique,MOZ,1045,1,11,161,806,65,0,1,2020.12
Mauritania,MRT,243,1,15,53,0,163,10,1,2020.12
Mauritius,MUS,523,1,5,10,158,347,0,2,2020.12
Malawi,MWI,1881,1,3,28,1737,112,0,0,2020.12
Mayotte,MYT,89,1,17,0,0,70,0,1,2020.12
Namibia,NAM,784,1,14,121,103,544,0,1,2020.12
Niger,NER,2299,1,8,0,27,2263,0,0,2020.12
Nigeria,NGA,5989,1,37,774,0,4647,529,1,2020.12
La Reunion,REU,424,1,4,24,0,394,0,1,2020.12
Rwanda,RWA,1298,1,5,30,416,685,161,0,2020.12
Sudan,SDN,1536,1,18,0,0,1516,0,1,2020.12
Senegal,SEN,3844,1,14,45,96,3642,45,1,2020.12
Saint Helena,SHN,13,1,3,8,0,0,0,1,2020.12
Sierra Leone,SLE,720,1,5,16,166,531,0,1,2020.12
Somalia,SOM,654,1,18,0,0,634,0,1,2020.12
South Sudan,SSD,460,1,10,78,0,371,0,0,2020.12
São Tomé and Príncipe,STP,35,1,2,7,0,24,0,1,2020.12
Swaziland,SWZ,454,1,4,59,22,368,0,0,2020.12
Seychelles,SYC,81,1,26,0,0,53,0,1,2020.12
Chad,TCD,1790,1,23,63,348,1355,0,0,2020.12
Togo,TGO,123,1,5,39,1,76,0,1,2020.12
Tunisia,TUN,1091,1,24,264,62,738,0,2,2020.12
Tanzania,TZA,1859,1,31,195,14,1500,114,4,2020.12
Uganda,UGA,1216,1,4,128,198,750,135,0,2020.12
South Africa,ZAF,25089,1,9,52,213,8963,15847,4,2020.12
Zambia,ZMB,978,1,10,105,12,850,0,0,2020.12
Zimbabwe,ZWE,1644,1,10,59,1235,339,0,0,2020.12
Antarctica,ATA,1,1,0,0,0,0,0,0,2020.12
French Southern Territories,ATF,1,1,0,0,0,0,0,0,2020.12
Bouvet Island,BVT,1,1,0,0,0,0,0,0,2020.12
Heard and McDonald Islands,HMD,1,1,0,0,0,0,0,0,2020.12
South Georgia and the South Sandwich Islands,SGS,12,1,0,0,0,0,0,11,2020.12
Afghanistan,AFG,598,1,34,398,0,165,0,0,2020.12
United Arab Emirates,ARE,1577,1,9,26,849,691,0,1,2020.12
Armenia,ARM,131,1,11,0,119,0,0,0,2020.12
Azerbaijan,AZE,369,1,11,74,282,0,0,1,2020.12
Bangladesh,BGD,684,1,8,64,553,57,0,1,2020.12
Bahrain,BHR,210,1,4,40,164,0,0,1,2020.12
Brunei,BRN,507,1,4,39,427,35,0,1,2020.12
Bhutan,BTN,22,1,20,0,1,0,0,0,2020.12
People’s Republic of China,CHN,3376,1,31,340,2700,0,275,29,2020.12
Hong Kong,HKG,571,1,18,388,0,106,0,58,2020.12
Indonesia,IDN,50742,1,34,514,5190,304,44696,3,2020.12
India,IND,30104,1,39,745,6400,433,22465,21,2020.12
British Indian Ocean Territory,IOT,8,1,0,0,0,0,0,7,2020.12
Iran,IRN,892,1,31,429,5,416,0,10,2020.12
Iraq,IRQ,250,1,19,120,25,84,0,1,2020.12
Israel,ISR,2147,1,6,0,1155,0,983,2,2020.12
Jordan,JOR,502,1,12,51,89,13,335,1,2020.12
Japan,JPN,119418,1,47,21,1896,117430,0,23,2020.12
Kazakhstan,KAZ,3404,1,17,215,2447,723,0,1,2020.12
Kyrgyzstan,KGZ,194,1,9,54,0,130,0,0,2020.12
Cambodia,KHM,1871,1,25,194,1620,30,0,1,2020.12
Korea (South),KOR,1241,1,17,230,0,2,990,1,2020.12
Kuwait,KWT,998,1,6,1,194,795,0,1,2020.12
Laos,LAO,188,1,18,148,21,0,0,0,2020.12
Lebanon,LBN,2847,1,8,26,1566,1244,0,2,2020.12
Sri Lanka,LKA,460,1,9,25,331,44,49,1,2020.12
Macao,MAC,41,1,9,25,0,0,0,6,2020.12
Maldives,MDV,416,1,21,393,0,0,0,1,2020.12
Myanmar,MMR,632,1,18,74,330,208,0,1,2020.12
Mongolia,MNG,391,1,22,339,29,0,0,0,2020.12
Malaysia,MYS,1777,1,16,159,891,577,125,8,2020.12
Nepal,NPL,98,1,7,77,13,0,0,0,2020.12
Oman,OMN,204,1,11,61,2,127,0,2,2020.12
Pakistan,PAK,406,1,6,132,4,261,0,2,2020.12
Philippines,PHL,44071,1,17,87,1633,543,41786,4,2020.12
Korea (North),PRK,87,1,11,0,0,73,0,2,2020.12
Palestine,PSE,30,1,2,16,11,0,0,0,2020.12
Qatar,QAT,119,1,8,82,27,0,0,1,2020.12
Russia,RUS,149337,1,8,83,2355,20167,126686,37,2020.12
Saudi Arabia,SAU,2504,1,13,147,176,2163,0,4,2020.12
Singapore,SGP,62,1,5,55,0,0,0,1,2020.12
Syria,SYR,116,1,15,62,2,35,0,1,2020.12
Thailand,THA,15705,1,77,928,7414,7283,0,2,2020.12
Tajikistan,TJK,215,1,5,76,0,133,0,0,2020.12
Turkmenistan,TKM,264,1,6,61,0,195,0,1,2020.12
East Timor (Timor Leste),TLS,81,1,13,65,0,1,0,1,2020.12
Taiwan,TWN,971,1,8,22,368,571,0,1,2020.12
Uzbekistan,UZB,604,1,14,193,3,393,0,0,2020.12
Vietnam,VNM,15480,1,66,697,11108,3600,0,8,2020.12
Yemen,YEM,593,1,22,333,0,226,0,11,2020.12
Andorra,AND,46,1,7,38,0,0,0,0,2020.12
Austria,AUT,16004,1,9,92,2118,13562,222,0,2020.12
Belgium,BEL,3343,1,3,11,43,581,2703,1,2020.12
Switzerland,CHE,9979,1,26,143,2225,7584,0,0,2020.12
Germany,DEU,90099,1,16,38,401,11113,78473,57,2020.12
Denmark,DNK,6760,1,5,99,0,6473,50,132,2020.12
Spain,ESP,44169,1,19,52,8123,34249,1696,29,2020.12
Finland,FIN,6571,1,19,70,311,5969,200,1,2020.12
France,FRA,37709,1,13,96,320,2009,35262,8,2020.12
Faroe Islands,FRO,117,1,6,29,80,0,0,1,2020.12
United Kingdom,GBR,19346,1,7,186,404,431,18094,223,2020.12
Gibraltar,GIB,3,1,0,0,1,1,0,0,2020.12
Ireland,IRL,49279,1,31,0,3432,45717,97,1,2020.12
Iceland,ISL,201,1,8,74,117,0,0,1,2020.12
Italy,ITA,44618,1,20,107,7954,36001,498,37,2020.12
Liechtenstein,LIE,38,1,2,11,24,0,0,0,2020.12
Luxembourg,LUX,1309,1,12,102,522,648,24,0,2020.12
Monaco,MCO,13,1,1,10,0,0,0,1,2020.12
Malta,MLT,163,1,6,68,87,0,0,1,2020.12
Netherlands,NLD,7471,1,12,355,2466,2806,1803,28,2020.12
Norway,NOR,3511,1,12,91,356,3014,24,13,2020.12
Portugal,PRT,17505,1,29,308,3091,14013,50,13,2020.12
San Marino,SMR,21,1,9,11,0,0,0,0,2020.12
Sweden,SWE,6192,1,21,290,0,5653,176,51,2020.12
Vatican City,VAT,2,1,0,0,0,1,0,0,2020.12
Albania,ALB,2043,1,12,61,372,1596,0,1,2020.12
Bulgaria,BGR,5265,1,27,265,108,4863,0,1,2020.12
Bosnia and Herzegovina,BIH,751,1,3,18,135,585,8,1,2020.12
Belarus,BLR,3208,1,7,131,1549,1520,0,0,2020.12
Cyprus,CYP,1364,1,6,615,614,127,0,1,2020.12
Czech Republic,CZE,21841,1,14,206,6258,15356,6,0,2020.12
Estonia,EST,8274,1,15,79,4696,3482,0,1,2020.12
Georgia,GEO,240,1,12,74,152,0,0,1,2020.12
Greece,GRC,13062,1,14,75,326,12270,217,159,2020.12
Croatia,HRV,8230,1,21,556,17,7634,0,1,2020.12
Hungary,HUN,8010,1,20,197,3177,4615,0,0,2020.12
Lithuania,LTU,1397,1,10,60,0,1324,0,2,2020.12
Latvia,LVA,1932,1,6,119,588,1217,0,1,2020.12
Moldova,MDA,2603,1,37,980,0,1585,0,0,2020.12
Macedonia,MKD,1546,1,8,80,0,1457,0,0,2020.12
Montenegro,MNE,224,1,24,0,0,198,0,1,2020.12
Poland,POL,44101,1,16,379,2477,40596,628,4,2020.12
Romania,ROU,16919,1,42,3181,40,13654,0,1,2020.12
Serbia,SRB,4375,1,4,25,169,4176,0,0,2020.12
Slovakia,SVK,7872,1,8,79,2927,4857,0,0,2020.12
Slovenia,SVN,6205,1,12,58,212,5921,0,1,2020.12
Turkey,TUR,51024,1,81,973,5,38969,10985,10,2020.12
Ukraine,UKR,31203,1,27,675,11601,18893,1,5,2020.12
Kosovo,XKS,78,1,7,38,0,32,0,0,2020.12
Aruba,ABW,65,1,8,55,0,0,0,1,2020.12
Anguilla,AIA,17,1,14,0,0,0,0,2,2020.12
Antigua and Barbuda,ATG,12,1,8,0,0,1,0,2,2020.12
Bonaire Sint Eustasius and Saba,BES,6,1,3,0,0,1,0,1,2020.12
Bahamas,BHS,66,1,19,32,1,0,0,13,2020.12
Saint Barthelemy,BLM,18,1,0,0,0,16,0,1,2020.12
Belize,BLZ,264,1,6,31,225,0,0,1,2020.12
Bermuda,BMU,13,1,11,0,0,0,0,1,2020.12
Barbados,BRB,26,1,11,0,0,13,0,1,2020.12
Canada,CAN,11758,1,13,293,5079,1222,4975,175,2020.12
Clipperton Island,CPT,2,1,0,0,0,0,0,1,2020.12
Costa Rica,CRI,957,1,7,81,466,189,206,7,2020.12
Cuba,CUB,356,1,16,168,170,0,0,1,2020.12
Curaçoa,CUW,3,1,0,0,0,1,0,1,2020.12
Cayman Islands,CYM,9,1,6,0,0,0,0,2,2020.12
Dominica,DMA,14,1,10,0,0,2,0,1,2020.12
Dominican Republic,DOM,413,1,32,155,155,69,0,1,2020.12
Guadeloupe,GLP,236,1,2,32,200,0,0,1,2020.12
Grenada,GRD,21,1,3,7,9,0,0,1,2020.12
Greenland,GRL,13,1,6,0,0,0,0,6,2020.12
Guatemala,GTM,610,1,22,340,245,0,0,2,2020.12
Honduras,HND,571,1,18,298,252,0,0,2,2020.12
Haiti,HTI,235,1,10,42,145,36,0,1,2020.12
Jamaica,JAM,96,1,3,14,63,14,0,1,2020.12
Saint Kitts and Nevis,KNA,24,1,2,14,0,6,0,1,2020.12
Saint Lucia,LCA,15,1,10,0,0,3,0,1,2020.12
Saint Martin,MAF,10,1,0,0,0,8,0,1,2020.12
Mexico,MEX,79355,1,32,2456,1981,71785,3092,8,2020.12
Montserrat,MSR,6,1,3,0,0,1,0,1,2020.12
Martinique,MTQ,240,1,4,34,200,0,0,1,2020.12
Nicaragua,NIC,236,1,17,151,65,0,0,2,2020.12
Panama,PAN,883,1,13,78,593,196,0,2,2020.12
Puerto Rico,PRI,1203,0,1,78,871,253,0,0,2020.12
El Salvador,SLV,322,1,14,262,44,0,0,1,2020.12
Saint Pierre and Miquelon,SPM,2,1,0,0,0,0,0,1,2020.12
Sint Maarten,SXM,2,1,0,0,0,0,0,1,2020.12
Turks and Caicos Islands,TCA,52,1,9,41,0,0,0,1,2020.12
Trinidad and Tobago,TTO,37,1,21,0,0,13,0,2,2020.12
United States of America,USA,107950,1,51,3142,35503,29394,36717,3142,2020.12
Saint Vincent and the Grenadines,VCT,23,1,6,13,2,0,0,1,2020.12
British Virgin Islands,VGB,7,1,5,0,0,0,0,1,2020.12
Virgin Islands,VIR,24,0,1,3,20,0,0,0,2020.12
American Samoa,ASM,104,1,5,16,78,0,0,4,2020.12
Australia,AUS,24605,1,9,544,15830,8180,0,41,2020.12
Cook Islands,COK,25,1,11,0,0,0,0,13,2020.12
Fiji,FJI,391,1,5,15,85,284,0,1,2020.12
Federated States of Micronesia,FSM,29,1,4,0,0,0,0,24,2020.12
Guam,GUM,21,0,1,1,19,0,0,0,2020.12
Kiribati,KIR,48,1,24,0,0,0,0,23,2020.12
Marshall Islands,MHL,49,1,34,0,0,0,0,14,2020.12
Northern Mariana Islands,MNP,18,1,4,0,0,0,0,13,2020.12
New Caledonia,NCL,62,1,3,33,0,0,0,25,2020.12
Norfolk Islands,NFK,2,0,1,0,0,0,0,1,2020.12
Niue,NIU,17,1,14,1,0,0,0,1,2020.12
Nauru,NRU,16,1,14,0,0,0,0,1,2020.12
New Zealand,NZL,3849,1,17,68,2586,1168,1,8,2020.12
Pitcairn Islands,PCN,9,1,4,0,0,0,0,4,2020.12
Palau,PLW,19,1,16,0,0,0,0,2,2020.12
Papua New Guinea,PNG,137,1,4,22,87,8,0,15,2020.12
French Polynesia,PYF,137,1,5,48,0,0,0,83,2020.12
Solomon Islands ,SLB,253,1,10,50,183,0,0,9,2020.12
Tokelau,TKL,7,1,3,0,0,0,0,3,2020.12
Tonga,TON,20,1,5,0,0,0,0,14,2020.12
Tuvalu,TUV,18,1,9,0,0,0,0,8,2020.12
United States Minor Outlying Islands,UMI,18,1,9,0,0,0,0,8,2020.12
Vanuatu,VUT,39,1,6,0,0,0,0,32,2020.12
Wallis and Futuna Islands,WLF,6,1,3,0,0,0,0,2,2020.12
Samoa,WSM,50,1,4,43,1,0,0,1,2020.12
Argentina,ARG,4054,1,24,527,2789,263,444,6,2020.12
Bolivia,BOL,1106,1,9,112,339,627,18,0,2020.12
Brazil,BRA,29213,1,27,5570,8699,13116,1786,14,2020.12
Chile,CHL,1235,1,16,56,345,748,57,12,2020.12
Colombia,COL,7554,1,33,1122,1131,5257,0,10,2020.12
Ecuador,ECU,2317,1,24,221,1039,1031,0,1,2020.12
Falkland Islands,FLK,2,1,0,0,0,0,0,1,2020.12
French Guiana,GUF,80,1,2,22,54,0,0,1,2020.12
Guyana,GUY,85,1,10,0,70,3,0,1,2020.12
Peru,PER,2326,1,25,196,1874,229,0,1,2020.12
Paraguay,PRY,649,1,18,260,0,302,68,0,2020.12
Suriname,SUR,150,1,10,62,76,0,0,1,2020.12
Uruguay,URY,389,1,19,129,0,180,59,1,2020.12
Venezuela,VEN,831,1,25,336,1,418,48,2,2020.12
Outer World  Water,AN_,58,0,0,0,0,0,0,58,2020.12
Outer World  Water,OAT,2,0,0,0,0,0,0,2,2020.12
Outer World  Water,OBE,1,0,0,0,0,0,0,1,2020.12
Outer World  Water,OCA,8,0,0,0,0,0,0,8,2020.12
Outer World  Water,OCP,7,0,0,0,0,0,0,7,2020.12
Outer World  Water,ODE,4,0,0,0,0,0,0,4,2020.12
Outer World  Water,ODK,11,0,0,0,0,0,0,11,2020.12
Outer World  Water,OES,3,0,0,0,0,0,0,3,2020.12
Outer World  Water,OFI,2,0,0,0,0,0,0,2,2020.12
Outer World  Water,OFR,3,0,0,0,0,0,0,3,2020.12
Outer World  Water,OGB,2,0,0,0,0,0,0,2,2020.12
Outer World  Water,OGR,1,0,0,0,0,0,0,1,2020.12
Outer World  Water,OIE,1,0,0,0,0,0,0,1,2020.12
Outer World  Water,OIN,12,0,0,0,0,0,0,12,2020.12
Outer World  Water,OIT,1,0,0,0,0,0,0,1,2020.12
Outer World  Water,OMX,11,0,0,0,0,0,0,11,2020.12
Outer World  Water,ONL,1,0,0,0,0,0,0,1,2020.12
Outer World  Water,ONO,2,0,0,0,0,0,0,2,2020.12
Outer World  Water,OPA,8,0,0,0,0,0,0,8,2020.12
Outer World  Water,OPL,1,0,0,0,0,0,0,1,2020.12
Outer World  Water,OPT,1,0,0,0,0,0,0,1,2020.12
Outer World  Water,ORU,15,0,0,0,0,0,0,15,2020.12
Outer World  Water,OSE,5,0,0,0,0,0,0,5,2020.12
Outer World  Water,OTR,3,0,0,0,0,0,0,3,2020.12
Outer World  Water,OUA,4,0,0,0,0,0,0,4,2020.12
Outer World  Water,OUP,1,0,0,0,0,0,0,1,2020.12
TOTAL,TOTAL,1472397,239,3229,42007,211814,723348,486663,5097,2020.12
Angola,AGO,2338,1,18,164,0,2002,151,2,2020.09
Burundi,BDI,534,1,18,119,0,383,13,0,2020.09
Benin,BEN,749,1,12,77,513,145,0,1,2020.09
Burkina Faso,BFA,1628,1,13,45,351,1165,53,0,2020.09
Botswana,BWA,501,1,9,28,0,357,106,0,2020.09
Central African Republic,CAF,1193,1,17,72,168,935,0,0,2020.09
Cote d’Ivoire,CIV,4291,1,14,31,107,497,3631,10,2020.09
Cameroon,CMR,501,1,10,58,6,425,0,1,2020.09
Democratic Republic of Congo,COD,11973,1,26,50,189,45,11661,1,2020.09
Republic of Congo,COG,214,1,0,12,1,199,0,1,2020.09
Comoros,COM,174,1,3,0,0,169,0,1,2020.09
Cape Verde,CPV,256,1,9,22,32,191,0,1,2020.09
Djibouti,DJI,30,1,6,0,0,22,0,1,2020.09
Algeria,DZA,3718,1,48,548,1541,53,1526,1,2020.09
Egypt,EGY,18994,1,27,363,52,5641,12898,12,2020.09
Eritrea,ERI,408,1,6,54,0,346,0,1,2020.09
Ethiopia,ETH,1465,1,11,84,0,1369,0,0,2020.09
Gabon,GAB,432,1,9,48,16,357,0,1,2020.09
Ghana,GHA,2137,1,16,216,1605,298,0,1,2020.09
Guinea,GIN,2507,1,8,34,340,24,2099,1,2020.09
Gambia,GMB,141,1,8,43,0,88,0,1,2020.09
Guinea Bissau,GNB,142,1,9,39,92,0,0,1,2020.09
Equatorial Guinea,GNQ,141,1,2,7,32,98,0,1,2020.09
Kenya,KEN,1340,1,47,290,688,150,163,1,2020.09
Liberia,LBR,385,1,15,135,135,98,0,1,2020.09
Libya,LBY,452,1,22,0,5,423,0,1,2020.09
Lesotho,LSO,2834,1,10,78,5,2740,0,0,2020.09
Morocco,MAR,3172,1,12,76,1528,1551,0,4,2020.09
Madagascar,MDG,2359,1,22,113,1530,692,0,1,2020.09
Mali,MLI,1139,1,11,54,1,1072,0,0,2020.09
Mozambique,MOZ,1045,1,11,161,806,65,0,1,2020.09
Mauritania,MRT,243,1,15,53,0,163,10,1,2020.09
Mauritius,MUS,523,1,5,10,158,347,0,2,2020.09
Malawi,MWI,1881,1,3,28,1737,112,0,0,2020.09
Mayotte,MYT,89,1,17,0,0,70,0,1,2020.09
Namibia,NAM,784,1,14,121,103,544,0,1,2020.09
Niger,NER,2299,1,8,0,27,2263,0,0,2020.09
Nigeria,NGA,5775,1,37,774,304,4658,0,1,2020.09
La Reunion,REU,424,1,4,24,0,394,0,1,2020.09
Rwanda,RWA,1289,1,5,30,416,676,161,0,2020.09
Sudan,SDN,1536,1,18,0,0,1516,0,1,2020.09
Senegal,SEN,3844,1,14,45,96,3642,45,1,2020.09
Saint Helena,SHN,13,1,3,8,0,0,0,1,2020.09
Sierra Leone,SLE,720,1,5,16,166,531,0,1,2020.09
Somalia,SOM,654,1,18,0,0,634,0,1,2020.09
South Sudan,SSD,460,1,10,78,0,371,0,0,2020.09
São Tomé and Príncipe,STP,35,1,2,7,0,24,0,1,2020.09
Swaziland,SWZ,454,1,4,59,22,368,0,0,2020.09
Seychelles,SYC,81,1,26,0,0,53,0,1,2020.09
Chad,TCD,1790,1,23,63,348,1355,0,0,2020.09
Togo,TGO,123,1,5,39,1,76,0,1,2020.09
Tunisia,TUN,1091,1,24,264,62,738,0,2,2020.09
Tanzania,TZA,1859,1,31,195,14,1500,114,4,2020.09
Uganda,UGA,1215,1,4,127,197,750,136,0,2020.09
South Africa,ZAF,25980,1,9,52,234,2046,23636,2,2020.09
Zambia,ZMB,978,1,10,105,12,850,0,0,2020.09
Zimbabwe,ZWE,1644,1,10,59,1235,339,0,0,2020.09
Antarctica,ATA,1,1,0,0,0,0,0,0,2020.09
French Southern Territories,ATF,1,1,0,0,0,0,0,0,2020.09
Bouvet Island,BVT,1,1,0,0,0,0,0,0,2020.09
Heard and McDonald Islands,HMD,1,1,0,0,0,0,0,0,2020.09
South Georgia and the South Sandwich Islands,SGS,1,1,0,0,0,0,0,0,2020.09
Afghanistan,AFG,598,1,34,398,0,165,0,0,2020.09
United Arab Emirates,ARE,1577,1,9,26,849,691,0,1,2020.09
Armenia,ARM,131,1,11,0,119,0,0,0,2020.09
Azerbaijan,AZE,369,1,11,74,282,0,0,1,2020.09
Bangladesh,BGD,684,1,8,64,553,57,0,1,2020.09
Bahrain,BHR,210,1,4,40,164,0,0,1,2020.09
Brunei,BRN,507,1,4,39,427,35,0,1,2020.09
Bhutan,BTN,22,1,20,0,1,0,0,0,2020.09
People’s Republic of China,CHN,3376,1,31,340,2700,0,275,29,2020.09
Hong Kong,HKG,571,1,18,388,0,106,0,58,2020.09
Indonesia,IDN,50742,1,34,514,5190,304,44696,3,2020.09
India,IND,30104,1,39,745,6400,433,22465,21,2020.09
British Indian Ocean Territory,IOT,8,1,0,0,0,0,0,7,2020.09
Iran,IRN,892,1,31,429,5,416,0,10,2020.09
Iraq,IRQ,250,1,19,120,25,84,0,1,2020.09
Israel,ISR,2147,1,6,0,1155,0,983,2,2020.09
Jordan,JOR,502,1,12,51,89,13,335,1,2020.09
Japan,JPN,119348,1,47,21,1896,117360,0,23,2020.09
Kazakhstan,KAZ,3404,1,17,215,2447,723,0,1,2020.09
Kyrgyzstan,KGZ,194,1,9,54,0,130,0,0,2020.09
Cambodia,KHM,1871,1,25,194,1620,30,0,1,2020.09
Korea (South),KOR,1241,1,17,230,0,2,990,1,2020.09
Kuwait,KWT,998,1,6,1,194,795,0,1,2020.09
Laos,LAO,188,1,18,148,21,0,0,0,2020.09
Lebanon,LBN,2847,1,8,26,1566,1244,0,2,2020.09
Sri Lanka,LKA,460,1,9,25,331,44,49,1,2020.09
