COUNTRY,ISO,TOTAL,LEVEL1(geotag),LEVEL2(geotag),LEVEL3(geotag),LEVEL4(geotag),LEVEL5(geotag),LEVEL6(geotag),SEA/OCEAN(geotag),Version
Sri Lanka,LKA,471,1,0,0,331,89,49,1,2020.09
Macao,MAC,19,1,5,0,0,7,0,6,2020.09
Maldives,MDV,415,1,20,393,0,0,0,1,2020.09
Myanmar,MMR,564,1,5,3,325,229,0,1,2020.09
Mongolia,MNG,377,1,6,339,31,0,0,0,2020.09
Malaysia,MYS,1754,1,7,117,903,593,125,8,2020.09
Nepal,NPL,97,1,6,77,13,0,0,0,2020.09
Oman,OMN,200,1,4,61,4,128,0,2,2020.09
Pakistan,PAK,418,1,5,133,4,273,0,2,2020.09
Philippines,PHL,44404,3,0,0,1131,105,43161,4,2020.09
Korea (North),PRK,86,0,11,0,0,73,0,2,2020.09
Palestine,PSE,33,1,2,16,14,0,0,0,2020.09
Qatar,QAT,128,1,0,90,36,0,0,1,2020.09
Russia,RUS,147242,1,3,27,99,20098,126977,37,2020.09
Saudi Arabia,SAU,3104,1,8,147,244,2700,0,4,2020.09
Singapore,SGP,56,0,0,55,0,0,0,1,2020.09
Syria,SYR,113,1,7,61,7,36,0,1,2020.09
Thailand,THA,14646,1,0,7,7168,7468,0,2,2020.09
Tajikistan,TJK,233,1,3,75,0,154,0,0,2020.09
Turkmenistan,TKM,280,1,0,61,0,217,0,1,2020.09
East Timor (Timor Leste),TLS,71,1,0,65,0,4,0,1,2020.09
Taiwan,TWN,1054,0,0,0,363,690,0,1,2020.09
Uzbekistan,UZB,673,1,0,192,13,467,0,0,2020.09
Vietnam,VNM,14715,1,1,9,10677,4019,0,8,2020.09
Yemen,YEM,651,1,5,329,0,305,0,11,2020.09
Andorra,AND,47,1,7,39,0,0,0,0,2020.09
Austria,AUT,16013,1,0,2,2101,13687,222,0,2020.09
Belgium,BEL,2722,1,2,2,11,1,2704,1,2020.09
Switzerland,CHE,10952,1,8,30,2225,8688,0,0,2020.09
Germany,DEU,97409,1,1,12,49,11115,86172,59,2020.09
Denmark,DNK,6797,1,0,98,0,6491,75,132,2020.09
Spain,ESP,44797,2,5,29,8122,34911,1696,32,2020.09
Finland,FIN,6606,1,4,9,309,5986,296,1,2020.09
France,FRA,35640,1,2,4,76,276,35267,14,2020.09
Faroe Islands,FRO,112,1,0,29,80,0,0,2,2020.09
United Kingdom,GBR,19328,3,8,27,318,198,18547,227,2020.09
Gibraltar,GIB,2,0,0,0,2,0,0,0,2020.09
Ireland,IRL,88437,3,21,0,3058,85255,97,3,2020.09
Iceland,ISL,194,0,0,74,119,0,0,1,2020.09
Italy,ITA,44621,2,10,49,7950,36062,501,47,2020.09
Liechtenstein,LIE,35,0,0,11,24,0,0,0,2020.09
Luxembourg,LUX,1289,1,0,21,522,721,24,0,2020.09
Monaco,MCO,11,0,0,10,0,0,0,1,2020.09
Malta,MLT,160,1,4,67,87,0,0,1,2020.09
Netherlands,NLD,7057,1,3,7,2487,2722,1804,33,2020.09
Norway,NOR,3564,49,0,49,356,3001,78,31,2020.09
Portugal,PRT,19360,1,11,46,3085,16151,52,14,2020.09
San Marino,SMR,22,0,9,13,0,0,0,0,2020.09
Sweden,SWE,6182,0,0,290,0,5664,176,52,2020.09
Vatican City,VAT,1,1,0,0,0,0,0,0,2020.09
Albania,ALB,1987,1,2,8,373,1602,0,1,2020.09
Bulgaria,BGR,5424,1,0,263,102,5057,0,1,2020.09
Bosnia and Herzegovina,BIH,734,1,1,4,133,586,8,1,2020.09
Belarus,BLR,3082,1,3,13,1545,1520,0,0,2020.09
Cyprus,CYP,1368,1,3,607,590,166,0,1,2020.09
Czech Republic,CZE,21673,1,7,25,6258,15382,0,0,2020.09
Estonia,EST,8191,1,0,0,4700,3489,0,1,2020.09
Georgia,GEO,236,1,8,74,152,0,0,1,2020.09
Greece,GRC,12977,3,8,22,315,12251,217,161,2020.09
Croatia,HRV,8220,1,16,556,0,7547,99,1,2020.09
Hungary,HUN,7862,1,7,34,3168,4652,0,0,2020.09
Lithuania,LTU,1385,0,0,59,0,1324,0,2,2020.09
Latvia,LVA,1855,1,3,45,588,1217,0,1,2020.09
Moldova,MDA,2646,0,0,981,0,1665,0,0,2020.09
Macedonia,MKD,1552,1,2,79,0,1470,0,0,2020.09
Montenegro,MNE,225,1,23,2,0,198,0,1,2020.09
Poland,POL,43750,1,8,26,2478,40604,629,4,2020.09
Romania,ROU,18169,1,6,3180,73,14907,0,2,2020.09
Serbia,SRB,2124,0,0,0,233,1891,0,0,2020.09
Slovakia,SVK,7837,1,3,24,2925,4884,0,0,2020.09
Slovenia,SVN,6147,1,4,9,212,5920,0,1,2020.09
Turkey,TUR,47071,1,29,963,0,35153,10911,14,2020.09
Ukraine,UKR,30656,1,9,71,11584,18983,1,7,2020.09
Kosovo,XKS,71,0,0,38,0,33,0,0,2020.09
Aruba,ABW,56,0,0,55,0,0,0,1,2020.09
Anguilla,AIA,17,1,14,0,0,0,0,2,2020.09
Antigua and Barbuda,ATG,10,0,7,0,0,1,0,2,2020.09
Bonaire Sint Eustasius and Saba,BES,5,0,3,0,0,1,0,1,2020.09
Bahamas,BHS,51,1,4,32,1,0,0,13,2020.09
Saint Barthelemy,BLM,18,1,0,0,0,16,0,1,2020.09
Belize,BLZ,300,1,5,30,263,0,0,1,2020.09
Bermuda,BMU,13,1,11,0,0,0,0,1,2020.09
Barbados,BRB,26,0,11,0,0,14,0,1,2020.09
Canada,CAN,11675,2,5,57,5113,1323,4993,182,2020.09
Clipperton Island,CPT,2,1,0,0,0,0,0,1,2020.09
Costa Rica,CRI,862,1,0,7,445,196,206,7,2020.09
Cuba,CUB,370,1,0,167,201,0,0,1,2020.09
Curaçoa,CUW,3,1,0,0,0,1,0,1,2020.09
Cayman Islands,CYM,9,1,6,0,0,0,0,2,2020.09
Dominica,DMA,14,1,10,0,0,2,0,1,2020.09
Dominican Republic,DOM,385,1,1,155,158,69,0,1,2020.09
Guadeloupe,GLP,236,1,0,32,202,0,0,1,2020.09
Grenada,GRD,20,0,3,7,9,0,0,1,2020.09
Greenland,GRL,12,0,6,0,0,0,0,6,2020.09
Guatemala,GTM,603,1,10,340,250,0,0,2,2020.09
Honduras,HND,581,1,12,298,268,0,0,2,2020.09
Haiti,HTI,182,1,0,0,144,36,0,1,2020.09
Jamaica,JAM,106,1,0,0,58,46,0,1,2020.09
Saint Kitts and Nevis,KNA,23,0,0,14,0,8,0,1,2020.09
Saint Lucia,LCA,15,1,10,0,0,3,0,1,2020.09
Saint Martin,MAF,10,1,0,0,0,8,0,1,2020.09
Mexico,MEX,80539,1,4,2440,1846,73139,3093,16,2020.09
Montserrat,MSR,6,1,3,0,0,1,0,1,2020.09
Martinique,MTQ,262,1,0,34,226,0,0,1,2020.09
Nicaragua,NIC,231,1,10,152,66,0,0,2,2020.09
Panama,PAN,808,1,0,0,578,227,0,2,2020.09
Puerto Rico,PRI,1405,0,0,0,818,587,0,0,2020.09
El Salvador,SLV,307,1,0,262,43,0,0,1,2020.09
Saint Pierre and Miquelon,SPM,2,1,0,0,0,0,0,1,2020.09
Sint Maarten,SXM,2,1,0,0,0,0,0,1,2020.09
Turks and Caicos Islands,TCA,1,0,0,0,0,0,0,1,2020.09
Trinidad and Tobago,TTO,37,1,21,0,0,13,0,2,2020.09
United States of America,USA,134048,1,0,213,36155,57713,36825,3141,2020.09
Saint Vincent and the Grenadines,VCT,17,1,0,13,2,0,0,1,2020.09
British Virgin Islands,VGB,6,0,5,0,0,0,0,1,2020.09
Virgin Islands,VIR,22,0,0,2,20,0,0,0,2020.09
American Samoa,ASM,82,0,0,0,78,0,0,4,2020.09
Australia,AUS,23867,6,9,368,14851,8592,0,41,2020.09
Cook Islands,COK,24,0,11,0,0,0,0,13,2020.09
Fiji,FJI,374,1,0,1,85,286,0,1,2020.09
Federated States of Micronesia,FSM,30,1,4,0,0,0,0,25,2020.09
Guam,GUM,19,0,0,0,19,0,0,0,2020.09
Kiribati,KIR,48,1,24,0,0,0,0,23,2020.09
Marshall Islands,MHL,49,1,34,0,0,0,0,14,2020.09
Northern Mariana Islands,MNP,18,1,4,0,0,0,0,13,2020.09
New Caledonia,NCL,60,1,0,34,0,0,0,25,2020.09
Norfolk Islands,NFK,2,0,1,0,0,0,0,1,2020.09
Niue,NIU,18,1,14,2,0,0,0,1,2020.09
Nauru,NRU,16,1,14,0,0,0,0,1,2020.09
New Zealand,NZL,3778,2,4,38,2557,1168,1,8,2020.09
Pitcairn Islands,PCN,9,1,4,0,0,0,0,4,2020.09
Palau,PLW,19,1,16,0,0,0,0,2,2020.09
Papua New Guinea,PNG,122,1,3,8,87,8,0,15,2020.09
French Polynesia,PYF,132,1,0,48,0,0,0,83,2020.09
Solomon Islands ,SLB,193,1,0,0,183,0,0,9,2020.09
Tokelau,TKL,7,1,3,0,0,0,0,3,2020.09
Tonga,TON,20,1,5,0,0,0,0,14,2020.09
Tuvalu,TUV,18,1,9,0,0,0,0,8,2020.09
United States Minor Outlying Islands,UMI,18,1,9,0,0,0,0,8,2020.09
Vanuatu,VUT,39,1,6,0,0,0,0,32,2020.09
Wallis and Futuna Islands,WLF,6,1,3,0,0,0,0,2,2020.09
Samoa,WSM,47,0,0,43,3,0,0,1,2020.09
Argentina,ARG,4184,1,5,501,2794,433,444,6,2020.09
Bolivia,BOL,1038,1,5,5,339,670,18,0,2020.09
Brazil,BRA,39508,1,9,5569,5917,16839,11159,14,2020.09
Chile,CHL,1194,1,2,9,326,787,57,12,2020.09
Colombia,COL,7523,0,2,1122,1131,5258,0,10,2020.09
Ecuador,ECU,2123,1,8,1038,0,1075,0,1,2020.09
Falkland Islands,FLK,2,1,0,0,0,0,0,1,2020.09
French Guiana,GUF,83,1,2,22,57,0,0,1,2020.09
Guyana,GUY,85,1,10,0,70,3,0,1,2020.09
Peru,PER,2147,1,9,10,1870,256,0,1,2020.09
Paraguay,PRY,625,1,7,255,0,293,69,0,2020.09
Suriname,SUR,164,1,8,60,94,0,0,1,2020.09
Uruguay,URY,392,1,3,129,0,199,59,1,2020.09
Venezuela,VEN,815,1,9,336,419,0,48,2,2020.09
Outer World Water,AN_,58,0,0,0,0,0,0,58,2020.09
Outer World Water,OAT,2,0,0,0,0,0,0,2,2020.09
Outer World Water,OBE,1,0,0,0,0,0,0,1,2020.09
Outer World Water,OCA,8,0,0,0,0,0,0,8,2020.09
Outer World Water,OCP,7,0,0,0,0,0,0,7,2020.09
Outer World Water,ODE,4,0,0,0,0,0,0,4,2020.09
Outer World Water,ODK,11,0,0,0,0,0,0,11,2020.09
Outer World Water,OES,3,0,0,0,0,0,0,3,2020.09
Outer World Water,OFI,2,0,0,0,0,0,0,2,2020.09
Outer World Water,OFR,3,0,0,0,0,0,0,3,2020.09
Outer World Water,OGB,2,0,0,0,0,0,0,2,2020.09
Outer World Water,OGR,1,0,0,0,0,0,0,1,2020.09
Outer World Water,OIE,1,0,0,0,0,0,0,1,2020.09
Outer World Water,OIN,12,0,0,0,0,0,0,12,2020.09
Outer World Water,OIT,1,0,0,0,0,0,0,1,2020.09
Outer World Water,OMX,11,0,0,0,0,0,0,11,2020.09
Outer World Water,ONL,1,0,0,0,0,0,0,1,2020.09
Outer World Water,ONO,2,0,0,0,0,0,0,2,2020.09
Outer World Water,OPA,8,0,0,0,0,0,0,8,2020.09
Outer World Water,OPL,1,0,0,0,0,0,0,1,2020.09
Outer World Water,OPT,1,0,0,0,0,0,0,1,2020.09
Outer World Water,ORU,15,0,0,0,0,0,0,15,2020.09
Outer World Water,OSE,5,0,0,0,0,0,0,5,2020.09
Outer World Water,OTR,3,0,0,0,0,0,0,3,2020.09
Outer World Water,OUA,4,0,0,0,0,0,0,4,2020.09
Outer World Water,OUP,1,0,0,0,0,0,0,1,2020.09
TOTAL,TOTAL,1552923,275,1246,30057,201173,791558,523442,5172,2020.09
Angola,AGO,2403,1,6,163,0,2054,177,2,2020.06
Burundi,BDI,532,1,7,119,0,390,15,0,2020.06
Benin,BEN,736,1,0,76,513,145,0,1,2020.06
Burkina Faso,BFA,1585,1,6,9,351,1165,53,0,2020.06
Botswana,BWA,515,1,0,28,0,371,115,0,2020.06
Central African Republic,CAF,1156,1,6,12,168,969,0,0,2020.06
Cote d’Ivoire,CIV,4180,1,0,1,40,497,3631,10,2020.06
Cameroon,CMR,490,1,1,58,4,425,0,1,2020.06
Democratic Republic of Congo,COD,12086,1,17,6,173,67,11821,1,2020.06
Republic of Congo,COG,214,1,0,12,1,199,0,1,2020.06
Comoros,COM,173,0,3,0,0,169,0,1,2020.06
Cape Verde,CPV,234,1,9,0,32,191,0,1,2020.06
Djibouti,DJI,30,1,6,0,0,22,0,1,2020.06
Algeria,DZA,3395,1,24,19,1522,187,1641,1,2020.06
Egypt,EGY,24336,1,4,159,22,6970,17168,12,2020.06
Eritrea,ERI,425,1,0,54,0,369,0,1,2020.06
Ethiopia,ETH,1499,1,3,85,0,1410,0,0,2020.06
Gabon,GAB,428,1,4,48,17,357,0,1,2020.06
Ghana,GHA,2114,1,3,210,1601,298,0,1,2020.06
Guinea,GIN,2484,1,0,9,338,27,2108,1,2020.06
Gambia,GMB,138,0,8,41,0,88,0,1,2020.06
Guinea Bissau,GNB,135,1,1,39,93,0,0,1,2020.06
Equatorial Guinea,GNQ,136,1,0,3,32,99,0,1,2020.06
Kenya,KEN,1480,1,6,278,862,138,194,1,2020.06
Liberia,LBR,328,1,2,90,136,98,0,1,2020.06
Libya,LBY,452,1,22,0,5,423,0,1,2020.06
Lesotho,LSO,2829,1,9,76,3,2740,0,0,2020.06
Morocco,MAR,3186,1,2,8,1507,1663,0,5,2020.06
Madagascar,MDG,2234,1,0,0,1526,706,0,1,2020.06
Mali,MLI,1133,1,4,54,1,1073,0,0,2020.06
Mozambique,MOZ,1047,1,7,161,810,67,0,1,2020.06
Mauritania,MRT,241,1,4,53,0,172,10,1,2020.06
Mauritius,MUS,692,0,5,6,157,522,0,2,2020.06
Malawi,MWI,1868,0,1,28,1727,112,0,0,2020.06
Mayotte,MYT,88,0,17,0,0,70,0,1,2020.06
Namibia,NAM,885,1,7,118,99,659,0,1,2020.06
Niger,NER,2298,1,8,0,26,2263,0,0,2020.06
Nigeria,NGA,6454,1,13,755,475,5209,0,1,2020.06
La Reunion,REU,419,0,0,24,0,394,0,1,2020.06
Rwanda,RWA,1279,1,1,8,381,657,231,0,2020.06
Sudan,SDN,1542,1,18,0,0,1522,0,1,2020.06
Senegal,SEN,3789,1,1,1,95,3645,45,1,2020.06
Saint Helena,SHN,12,0,3,8,0,0,0,1,2020.06
Sierra Leone,SLE,715,1,1,7,166,539,0,1,2020.06
Somalia,SOM,654,1,18,0,0,634,0,1,2020.06
South Sudan,SSD,456,1,5,78,0,372,0,0,2020.06
São Tomé and Príncipe,STP,33,1,0,7,0,24,0,1,2020.06
Swaziland,SWZ,441,1,2,59,7,372,0,0,2020.06
Seychelles,SYC,81,0,26,0,0,54,0,1,2020.06
Chad,TCD,1709,1,0,3,348,1357,0,0,2020.06
Togo,TGO,123,0,5,39,1,77,0,1,2020.06
Tunisia,TUN,1270,1,13,253,121,880,0,2,2020.06
Tanzania,TZA,1968,1,15,195,17,1566,170,4,2020.06
Uganda,UGA,1096,1,3,1,200,743,148,0,2020.06
South Africa,ZAF,29111,1,6,12,231,2813,26044,4,2020.06
Zambia,ZMB,984,1,7,105,10,861,0,0,2020.06
Zimbabwe,ZWE,1674,1,0,59,1217,397,0,0,2020.06
Antarctica,ATA,1,1,0,0,0,0,0,0,2020.06
French Southern Territories,ATF,1,1,0,0,0,0,0,0,2020.06
Bouvet Island,BVT,1,1,0,0,0,0,0,0,2020.06
Heard and McDonald Islands,HMD,1,1,0,0,0,0,0,0,2020.06
South Georgia and the South Sandwich Islands,SGS,1,1,0,0,0,0,0,0,2020.06
Afghanistan,AFG,590,1,15,398,0,176,0,0,2020.06
United Arab Emirates,ARE,893,1,7,0,24,857,0,4,2020.06
Armenia,ARM,131,1,11,0,119,0,0,0,2020.06
Azerbaijan,AZE,354,1,1,69,282,0,0,1,2020.06
Bangladesh,BGD,716,1,7,32,526,149,0,1,2020.06
Bahrain,BHR,166,0,1,164,0,0,0,1,2020.06
Brunei,BRN,596,1,2,15,358,219,0,1,2020.06
Bhutan,BTN,22,1,20,0,1,0,0,0,2020.06
People’s Republic of China,CHN,3238,1,18,59,2856,0,275,29,2020.06
Hong Kong,HKG,726,1,18,134,0,515,0,58,2020.06
Indonesia,IDN,51012,3,0,337,2626,245,47798,3,2020.06
India,IND,29200,1,2,4,6189,513,22467,24,2020.06
British Indian Ocean Territory,IOT,8,1,0,0,0,0,0,7,2020.06
Iran,IRN,889,1,12,429,4,433,0,10,2020.06
Iraq,IRQ,246,1,4,120,31,89,0,1,2020.06
Israel,ISR,2127,1,6,0,1135,0,983,2,2020.06
Jordan,JOR,461,1,0,81,10,56,312,1,2020.06
Japan,JPN,117702,5,0,0,15,117659,0,23,2020.06
Kazakhstan,KAZ,3540,2,3,137,2469,928,0,1,2020.06
Kyrgyzstan,KGZ,203,1,2,54,0,146,0,0,2020.06
Cambodia,KHM,1754,0,4,17,1559,173,0,1,2020.06
Korea (South),KOR,1221,1,9,215,0,2,993,1,2020.06
Kuwait,KWT,704,1,5,0,37,660,0,1,2020.06
Laos,LAO,177,1,2,148,26,0,0,0,2020.06
Lebanon,LBN,2659,1,1,4,1405,1246,0,2,2020.06
Sri Lanka,LKA,471,1,0,0,331,89,49,1,2020.06
Macao,MAC,19,1,5,0,0,7,0,6,2020.06
Maldives,MDV,415,1,20,393,0,0,0,1,2020.06
Myanmar,MMR,591,1,7,8,305,269,0,1,2020.06
Mongolia,MNG,377,1,6,339,31,0,0,0,2020.06
Malaysia,MYS,1754,1,7,117,903,593,125,8,2020.06
Nepal,NPL,96,1,6,77,12,0,0,0,2020.06
Oman,OMN,200,1,4,61,4,128,0,2,2020.06
Pakistan,PAK,416,1,5,131,4,273,0,2,2020.06
Philippines,PHL,43770,2,1,41,802,41642,1280,2,2020.06
Korea (North),PRK,86,0,11,0,0,73,0,2,2020.06
Palestine,PSE,33,1,2,16,14,0,0,0,2020.06
Qatar,QAT,128,1,0,90,36,0,0,1,2020.06
Russia,RUS,147242,1,3,27,99,20098,126977,37,2020.06
Saudi Arabia,SAU,3104,1,8,147,244,2700,0,4,2020.06
Singapore,SGP,56,0,0,55,0,0,0,1,2020.06
Syria,SYR,113,1,7,61,7,36,0,1,2020.06
Thailand,THA,14646,1,0,7,7168,7468,0,2,2020.06
Tajikistan,TJK,228,1,1,74,0,152,0,0,2020.06
Turkmenistan,TKM,268,1,2,65,0,199,0,1,2020.06
East Timor (Timor Leste),TLS,71,1,0,65,0,4,0,1,2020.06
Taiwan,TWN,400,0,5,0,6,371,0,18,2020.06
Uzbekistan,UZB,673,1,0,192,13,467,0,0,2020.06
Vietnam,VNM,14715,1,1,9,10677,4019,0,8,2020.06
Yemen,YEM,651,1,5,329,0,305,0,11,2020.06
Andorra,AND,47,1,7,39,0,0,0,0,2020.06
Austria,AUT,16013,1,0,2,2101,13687,222,0,2020.06
Belgium,BEL,2722,1,2,2,11,1,2704,1,2020.06
Switzerland,CHE,10952,1,8,30,2225,8688,0,0,2020.06
Cyprus,CYP,1368,1,3,607,590,166,0,1,2020.06
Germany,DEU,97409,1,1,12,49,11115,86172,59,2020.06
Denmark,DNK,6797,1,0,98,0,6491,75,132,2020.06
Spain,ESP,44797,2,5,29,8122,34911,1696,32,2020.06
Finland,FIN,6606,1,4,9,309,5986,296,1,2020.06
France,FRA,35640,1,2,4,76,276,35267,14,2020.06
Faroe Islands,FRO,111,1,0,29,80,0,0,1,2020.06
United Kingdom,GBR,19328,3,8,27,318,198,18547,227,2020.06
Gibraltar,GIB,2,0,0,0,2,0,0,0,2020.06
Greece,GRC,12977,3,8,22,315,12251,217,161,2020.06
Ireland,IRL,88438,3,21,0,3058,85256,97,3,2020.06
Iceland,ISL,194,0,0,74,119,0,0,1,2020.06
Italy,ITA,44621,2,10,49,7950,36062,501,47,2020.06
Liechtenstein,LIE,35,0,0,11,24,0,0,0,2020.06
Luxembourg,LUX,1289,1,0,21,522,721,24,0,2020.06
Monaco,MCO,12,1,1,9,0,0,0,1,2020.06
Malta,MLT,160,1,4,67,87,0,0,1,2020.06
Netherlands,NLD,7057,1,3,7,2487,2722,1804,33,2020.06
Norway,NOR,3819,48,20,26,422,3194,78,31,2020.06
Portugal,PRT,19307,1,11,46,3085,16101,49,14,2020.06
San Marino,SMR,22,0,9,13,0,0,0,0,2020.06
Sweden,SWE,6182,0,0,290,0,5664,176,52,2020.06
Turkey,TUR,47071,1,29,963,0,35153,10911,14,2020.06
Vatican City,VAT,1,1,0,0,0,0,0,0,2020.06
Albania,ALB,1987,1,2,8,373,1602,0,1,2020.06
Bulgaria,BGR,5424,1,0,263,102,5057,0,1,2020.06
Bosnia and Herzegovina,BIH,734,1,1,4,133,586,8,1,2020.06
Belarus,BLR,3082,1,3,13,1545,1520,0,0,2020.06
Czech Republic,CZE,21673,1,7,25,6258,15382,0,0,2020.06
Estonia,EST,8191,1,0,0,4700,3489,0,1,2020.06
Georgia,GEO,236,1,8,74,152,0,0,1,2020.06
Croatia,HRV,8220,1,16,556,0,7547,99,1,2020.06
Hungary,HUN,7862,1,7,34,3168,4652,0,0,2020.06
Lithuania,LTU,1385,0,0,59,0,1324,0,2,2020.06
Latvia,LVA,1855,1,3,45,588,1217,0,1,2020.06
Moldova,MDA,2646,0,0,981,0,1665,0,0,2020.06
Macedonia,MKD,1552,1,2,79,0,1470,0,0,2020.06
Montenegro,MNE,225,1,23,2,0,198,0,1,2020.06
Poland,POL,43750,1,8,26,2478,40604,629,4,2020.06
Romania,ROU,18169,1,6,3180,73,14907,0,2,2020.06
Serbia,SRB,2124,0,0,0,233,1891,0,0,2020.06
Slovakia,SVK,7837,1,3,24,2925,4884,0,0,2020.06
Slovenia,SVN,6149,1,4,9,212,5922,0,1,2020.06
Ukraine,UKR,30656,1,9,71,11584,18983,1,7,2020.06
Kosovo,XKS,71,0,0,0,38,33,0,0,2020.06
Aruba,ABW,56,0,0,55,0,0,0,1,2020.06
Anguilla,AIA,17,1,14,0,0,0,0,2,2020.06
Antigua and Barbuda,ATG,10,0,7,0,0,1,0,2,2020.06
Bonaire Sint Eustasius and Saba,BES,5,0,3,0,0,1,0,1,2020.06
Bahamas,BHS,51,1,4,32,1,0,0,13,2020.06
Saint Barthelemy,BLM,18,1,0,0,0,16,0,1,2020.06
Belize,BLZ,300,1,5,30,263,0,0,1,2020.06
Bermuda,BMU,13,1,11,0,0,0,0,1,2020.06
Barbados,BRB,26,0,11,0,0,14,0,1,2020.06
Canada,CAN,11675,2,5,57,5113,1323,4993,182,2020.06
Clipperton Island,CPT,2,1,0,0,0,0,0,1,2020.06
Costa Rica,CRI,862,1,0,7,445,196,206,7,2020.06
Cuba,CUB,370,1,0,167,201,0,0,1,2020.06
Curaçoa,CUW,3,1,0,0,0,1,0,1,2020.06
Cayman Islands,CYM,9,1,6,0,0,0,0,2,2020.06
Dominica,DMA,14,1,10,0,0,2,0,1,2020.06
Dominican Republic,DOM,385,1,1,155,158,69,0,1,2020.06
Guadeloupe,GLP,236,1,0,32,202,0,0,1,2020.06
