COUNTRY,ISO,TOTAL,LEVEL1(geotag),LEVEL2(geotag),LEVEL3(geotag),LEVEL4(geotag),LEVEL5(geotag),LEVEL6(geotag),SEA/OCEAN(geotag),Version
Grenada,GRD,20,0,3,7,9,0,0,1,2020.06
Greenland,GRL,12,0,6,0,0,0,0,6,2020.06
Guatemala,GTM,603,1,10,340,250,0,0,2,2020.06
Honduras,HND,581,1,12,298,268,0,0,2,2020.06
Haiti,HTI,182,1,0,0,144,36,0,1,2020.06
Jamaica,JAM,106,1,0,0,58,46,0,1,2020.06
Saint Kitts and Nevis,KNA,23,0,0,14,0,8,0,1,2020.06
Saint Lucia,LCA,15,1,10,0,0,3,0,1,2020.06
Saint Martin,MAF,10,1,0,0,0,8,0,1,2020.06
Mexico,MEX,80539,1,4,2440,1846,73139,3093,16,2020.06
Montserrat,MSR,6,1,3,0,0,1,0,1,2020.06
Martinique,MTQ,262,1,0,34,226,0,0,1,2020.06
Nicaragua,NIC,231,1,10,152,66,0,0,2,2020.06
Panama,PAN,808,1,0,0,578,227,0,2,2020.06
Puerto Rico,PRI,1405,0,0,0,818,587,0,0,2020.06
El Salvador,SLV,307,1,0,262,43,0,0,1,2020.06
Saint Pierre and Miquelon,SPM,2,1,0,0,0,0,0,1,2020.06
Sint Maarten,SXM,2,1,0,0,0,0,0,1,2020.06
Turks and Caicos Islands,TCA,1,0,0,0,0,0,0,1,2020.06
Trinidad and Tobago,TTO,37,1,21,0,0,13,0,2,2020.06
United States of America,USA,134048,1,0,213,36155,57713,36825,3141,2020.06
Saint Vincent and the Grenadines,VCT,17,1,0,13,2,0,0,1,2020.06
British Virgin Islands,VGB,6,0,5,0,0,0,0,1,2020.06
Virgin Islands,VIR,22,0,0,2,20,0,0,0,2020.06
American Samoa,ASM,85,1,3,0,77,0,0,4,2020.06
Australia,AUS,34007,6,9,510,21627,11814,0,41,2020.06
Cook Islands,COK,24,0,11,0,0,0,0,13,2020.06
Fiji,FJI,463,1,4,11,85,286,0,76,2020.06
Federated States of Micronesia,FSM,30,1,4,0,0,0,0,25,2020.06
Guam,GUM,19,0,0,0,19,0,0,0,2020.06
Kiribati,KIR,48,1,24,0,0,0,0,23,2020.06
Marshall Islands,MHL,49,1,34,0,0,0,0,14,2020.06
Northern Mariana Islands,MNP,18,1,4,0,0,0,0,13,2020.06
New Caledonia,NCL,59,1,0,33,0,0,0,25,2020.06
Norfolk Islands,NFK,2,0,1,0,0,0,0,1,2020.06
Niue,NIU,18,1,14,2,0,0,0,1,2020.06
Nauru,NRU,16,1,14,0,0,0,0,1,2020.06
New Zealand,NZL,3778,2,4,38,2557,1168,1,8,2020.06
Pitcairn Islands,PCN,9,1,4,0,0,0,0,4,2020.06
Palau,PLW,19,1,16,0,0,0,0,2,2020.06
Papua New Guinea,PNG,120,1,3,6,87,8,0,15,2020.06
French Polynesia,PYF,132,1,0,48,0,0,0,83,2020.06
Solomon Islands ,SLB,193,1,0,0,183,0,0,9,2020.06
Tokelau,TKL,7,1,3,0,0,0,0,3,2020.06
Tonga,TON,20,1,5,0,0,0,0,14,2020.06
Tuvalu,TUV,18,1,9,0,0,0,0,8,2020.06
United States Minor Outlying Islands,UMI,18,1,9,0,0,0,0,8,2020.06
Vanuatu,VUT,39,1,6,0,0,0,0,32,2020.06
Wallis and Futuna Islands,WLF,6,1,3,0,0,0,0,2,2020.06
Samoa,WSM,14,1,11,1,0,0,0,1,2020.06
Argentina,ARG,4184,1,5,501,2794,433,444,6,2020.06
Bolivia,BOL,1038,1,5,5,339,670,18,0,2020.06
Brazil,BRA,39508,1,9,5569,5917,16839,11159,14,2020.06
Chile,CHL,1194,1,2,9,326,787,57,12,2020.06
Colombia,COL,7523,0,2,1122,1131,5258,0,10,2020.06
Ecuador,ECU,2123,1,8,1038,0,1075,0,1,2020.06
Falkland Islands,FLK,2,1,0,0,0,0,0,1,2020.06
French Guiana,GUF,83,1,2,22,57,0,0,1,2020.06
Guyana,GUY,85,1,10,0,70,3,0,1,2020.06
Peru,PER,2147,1,9,10,1870,256,0,1,2020.06
Paraguay,PRY,625,1,7,255,0,293,69,0,2020.06
Suriname,SUR,164,1,8,60,94,0,0,1,2020.06
Uruguay,URY,392,1,3,129,0,199,59,1,2020.06
Venezuela,VEN,815,1,9,336,419,0,48,2,2020.06
Outer World Water,AN_,58,0,0,0,0,0,0,58,2020.06
Outer World Water,OAT,2,0,0,0,0,0,0,2,2020.06
Outer World Water,OBE,1,0,0,0,0,0,0,1,2020.06
Outer World Water,OCA,8,0,0,0,0,0,0,8,2020.06
Outer World Water,OCP,7,0,0,0,0,0,0,7,2020.06
Outer World Water,ODE,4,0,0,0,0,0,0,4,2020.06
Outer World Water,ODK,11,0,0,0,0,0,0,11,2020.06
Outer World Water,OES,3,0,0,0,0,0,0,3,2020.06
Outer World Water,OFI,2,0,0,0,0,0,0,2,2020.06
Outer World Water,OFR,3,0,0,0,0,0,0,3,2020.06
Outer World Water,OGB,2,0,0,0,0,0,0,2,2020.06
Outer World Water,OGR,1,0,0,0,0,0,0,1,2020.06
Outer World Water,OIE,1,0,0,0,0,0,0,1,2020.06
Outer World Water,OIN,12,0,0,0,0,0,0,12,2020.06
Outer World Water,OIT,1,0,0,0,0,0,0,1,2020.06
Outer World Water,OMX,11,0,0,0,0,0,0,11,2020.06
Outer World Water,ONL,1,0,0,0,0,0,0,1,2020.06
Outer World Water,ONO,2,0,0,0,0,0,0,2,2020.06
Outer World Water,OPA,8,0,0,0,0,0,0,8,2020.06
Outer World Water,OPL,1,0,0,0,0,0,0,1,2020.06
Outer World Water,OPT,1,0,0,0,0,0,0,1,2020.06
Outer World Water,ORU,15,0,0,0,0,0,0,15,2020.06
Outer World Water,OSE,5,0,0,0,0,0,0,5,2020.06
Outer World Water,OTR,3,0,0,0,0,0,0,3,2020.06
Outer World Water,OUA,4,0,0,0,0,0,0,4,2020.06
Outer World Water,OUP,1,0,0,0,0,0,0,1,2020.06
TOTAL,TOTAL,1561222,275,1288,30312,206395,836319,481375,5258,2020.06
Angola,AGO,2198,0,1,158,10,2027,0,2,2020.03
Burundi,BDI,532,1,7,119,0,390,15,0,2020.03
Benin,BEN,736,1,0,76,513,145,0,1,2020.03
Burkina Faso,BFA,356,1,0,45,1,309,0,0,2020.03
Botswana,BWA,598,0,0,26,37,535,0,0,2020.03
Central African Republic,CAF,966,1,0,17,0,948,0,0,2020.03
Cote d’Ivoire,CIV,4180,1,0,1,40,497,3631,10,2020.03
Cameroon,CMR,490,1,1,58,4,425,0,1,2020.03
Democratic Republic of Congo,COD,12086,1,17,6,173,67,11821,1,2020.03
Republic of Congo,COG,214,1,0,12,1,199,0,1,2020.03
Comoros,COM,173,0,3,0,0,169,0,1,2020.03
Cape Verde,CPV,213,1,0,10,0,201,0,1,2020.03
Djibouti,DJI,30,1,6,0,0,22,0,1,2020.03
Algeria,DZA,3395,1,24,19,1522,187,1641,1,2020.03
Egypt,EGY,23430,1,7,79,9,6155,17167,12,2020.03
Eritrea,ERI,355,1,0,6,0,347,0,1,2020.03
Ethiopia,ETH,1140,1,0,11,2,1126,0,0,2020.03
Gabon,GAB,428,1,4,48,17,357,0,1,2020.03
Ghana,GHA,2114,1,3,210,1601,298,0,1,2020.03
Guinea,GIN,2054,1,0,8,2,2042,0,1,2020.03
Gambia,GMB,138,0,8,41,0,88,0,1,2020.03
Guinea Bissau,GNB,135,1,1,39,93,0,0,1,2020.03
Equatorial Guinea,GNQ,136,1,0,3,32,99,0,1,2020.03
Kenya,KEN,1480,1,6,278,862,138,194,1,2020.03
Liberia,LBR,328,1,2,90,136,98,0,1,2020.03
Libya,LBY,448,1,22,0,4,420,0,1,2020.03
Lesotho,LSO,2659,1,0,10,6,2642,0,0,2020.03
Morocco,MAR,3187,1,2,9,1507,1663,0,5,2020.03
Madagascar,MDG,2234,1,0,0,1526,706,0,1,2020.03
Mali,MLI,1133,1,4,54,1,1073,0,0,2020.03
Mozambique,MOZ,1047,1,7,161,810,67,0,1,2020.03
Mauritania,MRT,172,1,0,13,1,156,0,1,2020.03
Mauritius,MUS,692,0,5,6,157,522,0,2,2020.03
Malawi,MWI,1868,0,1,28,1727,112,0,0,2020.03
Mayotte,MYT,88,0,17,0,0,70,0,1,2020.03
Namibia,NAM,885,1,7,118,99,659,0,1,2020.03
Niger,NER,2298,1,8,0,26,2263,0,0,2020.03
Nigeria,NGA,6454,1,13,755,475,5209,0,1,2020.03
La Reunion,REU,289,0,0,0,24,264,0,1,2020.03
Rwanda,RWA,1279,1,1,8,381,657,231,0,2020.03
Sudan,SDN,1542,1,18,0,0,1522,0,1,2020.03
Senegal,SEN,3789,1,1,1,95,3645,45,1,2020.03
Saint Helena,SHN,12,0,3,8,0,0,0,1,2020.03
Sierra Leone,SLE,715,1,1,7,166,539,0,1,2020.03
Somalia,SOM,654,1,0,18,0,634,0,1,2020.03
South Sudan,SSD,383,1,0,10,0,372,0,0,2020.03
São Tomé and Príncipe,STP,31,0,0,2,0,28,0,1,2020.03
Swaziland,SWZ,441,1,2,59,7,372,0,0,2020.03
Seychelles,SYC,81,0,26,0,0,54,0,1,2020.03
Chad,TCD,1709,1,0,3,348,1357,0,0,2020.03
Togo,TGO,123,0,5,39,1,77,0,1,2020.03
Tunisia,TUN,1270,1,13,253,121,880,0,2,2020.03
Tanzania,TZA,1968,1,15,195,17,1566,170,4,2020.03
Uganda,UGA,1096,1,3,1,200,743,148,0,2020.03
South Africa,ZAF,29111,1,6,12,231,2813,26044,4,2020.03
Zambia,ZMB,984,1,7,105,10,861,0,0,2020.03
Zimbabwe,ZWE,1674,1,0,59,1217,397,0,0,2020.03
Antarctica,ATA,1,1,0,0,0,0,0,0,2020.03
French Southern Territories,ATF,1,1,0,0,0,0,0,0,2020.03
Bouvet Island,BVT,1,1,0,0,0,0,0,0,2020.03
Heard and McDonald Islands,HMD,1,1,0,0,0,0,0,0,2020.03
South Georgia and the South Sandwich Islands,SGS,1,1,0,0,0,0,0,0,2020.03
Afghanistan,AFG,590,1,15,398,0,176,0,0,2020.03
United Arab Emirates,ARE,893,1,7,0,24,857,0,4,2020.03
Armenia,ARM,131,1,11,0,119,0,0,0,2020.03
Azerbaijan,AZE,354,1,1,69,282,0,0,1,2020.03
Bangladesh,BGD,716,1,7,32,526,149,0,1,2020.03
Bahrain,BHR,166,0,1,164,0,0,0,1,2020.03
Brunei,BRN,596,1,2,15,358,219,0,1,2020.03
Bhutan,BTN,22,1,20,0,1,0,0,0,2020.03
People’s Republic of China,CHN,3238,1,18,59,2856,0,275,29,2020.03
Hong Kong,HKG,726,1,18,134,0,515,0,58,2020.03
Indonesia,IDN,51012,3,0,337,2626,245,47798,3,2020.03
India,IND,29200,1,2,4,6189,513,22467,24,2020.03
British Indian Ocean Territory,IOT,8,1,0,0,0,0,0,7,2020.03
Iran,IRN,889,1,12,429,4,433,0,10,2020.03
Iraq,IRQ,246,1,4,120,31,89,0,1,2020.03
Israel,ISR,2127,1,6,0,1135,0,983,2,2020.03
Jordan,JOR,461,1,0,81,10,56,312,1,2020.03
Japan,JPN,117702,5,0,0,15,117659,0,23,2020.03
Kazakhstan,KAZ,3540,2,3,137,2469,928,0,1,2020.03
Kyrgyzstan,KGZ,203,1,2,54,0,146,0,0,2020.03
Cambodia,KHM,1754,0,4,17,1559,173,0,1,2020.03
Korea (South),KOR,1221,1,9,215,0,2,993,1,2020.03
Kuwait,KWT,704,1,5,0,37,660,0,1,2020.03
Laos,LAO,177,1,2,148,26,0,0,0,2020.03
Lebanon,LBN,2659,1,1,4,1405,1246,0,2,2020.03
Sri Lanka,LKA,471,1,0,0,331,89,49,1,2020.03
Macao,MAC,19,1,5,0,0,7,0,6,2020.03
Maldives,MDV,415,1,20,393,0,0,0,1,2020.03
Myanmar,MMR,591,1,7,8,305,269,0,1,2020.03
Mongolia,MNG,377,1,6,339,31,0,0,0,2020.03
Malaysia,MYS,1754,1,7,117,903,593,125,8,2020.03
Nepal,NPL,96,1,6,77,12,0,0,0,2020.03
Oman,OMN,200,1,4,61,4,128,0,2,2020.03
Pakistan,PAK,416,1,5,131,4,273,0,2,2020.03
Philippines,PHL,43770,2,1,41,802,41642,1280,2,2020.03
Korea (North),PRK,86,0,11,0,0,73,0,2,2020.03
Palestine,PSE,33,1,2,16,14,0,0,0,2020.03
Qatar,QAT,128,1,0,90,36,0,0,1,2020.03
Russia,RUS,147242,1,3,27,99,20098,126977,37,2020.03
Saudi Arabia,SAU,3104,1,8,147,244,2700,0,4,2020.03
Singapore,SGP,56,0,0,55,0,0,0,1,2020.03
Syria,SYR,113,1,7,61,7,36,0,1,2020.03
Thailand,THA,14646,1,0,7,7168,7468,0,2,2020.03
Tajikistan,TJK,228,1,1,74,0,152,0,0,2020.03
Turkmenistan,TKM,268,1,2,65,0,199,0,1,2020.03
East Timor (Timor Leste),TLS,71,1,0,65,0,4,0,1,2020.03
Taiwan,TWN,400,0,5,0,6,371,0,18,2020.03
Uzbekistan,UZB,673,1,0,192,13,467,0,0,2020.03
Vietnam,VNM,14715,1,1,9,10677,4019,0,8,2020.03
Yemen,YEM,651,1,5,329,0,305,0,11,2020.03
Andorra,AND,47,1,7,39,0,0,0,0,2020.03
Austria,AUT,16007,1,0,1,2096,13687,222,0,2020.03
Belgium,BEL,2722,1,2,2,11,1,2704,1,2020.03
Switzerland,CHE,10133,0,0,0,2297,7830,6,0,2020.03
Cyprus,CYP,1368,1,3,607,590,166,0,1,2020.03
Germany,DEU,89489,1,0,3,10927,78499,0,59,2020.03
Denmark,DNK,6797,1,0,98,0,6491,75,132,2020.03
Spain,ESP,44780,1,1,16,8123,34911,1696,32,2020.03
Finland,FIN,6606,1,4,12,306,5986,296,1,2020.03
France,FRA,35347,1,0,0,0,0,35332,14,2020.03
Faroe Islands,FRO,111,1,0,29,80,0,0,1,2020.03
United Kingdom,GBR,35794,5,0,0,344,385,34826,234,2020.03
Gibraltar,GIB,2,0,0,0,2,0,0,0,2020.03
Greece,GRC,1955,0,0,0,112,1680,0,163,2020.03
Ireland,IRL,88438,3,21,0,3058,85256,97,3,2020.03
Iceland,ISL,194,0,0,74,119,0,0,1,2020.03
Italy,ITA,44562,1,0,0,7954,36062,498,47,2020.03
Liechtenstein,LIE,35,0,0,11,24,0,0,0,2020.03
Luxembourg,LUX,1289,1,0,21,522,721,24,0,2020.03
Monaco,MCO,12,1,1,9,0,0,0,1,2020.03
Malta,MLT,160,1,4,67,87,0,0,1,2020.03
Netherlands,NLD,7057,1,3,7,2487,2722,1804,33,2020.03
Norway,NOR,3527,48,21,28,422,2899,78,31,2020.03
Portugal,PRT,19307,1,11,46,3085,16101,49,14,2020.03
San Marino,SMR,22,0,9,13,0,0,0,0,2020.03
Sweden,SWE,6182,0,0,290,0,5664,176,52,2020.03
Turkey,TUR,63622,1,8,633,190,30547,32230,13,2020.03
Vatican City,VAT,2,1,0,0,0,1,0,0,2020.03
Albania,ALB,1987,1,2,8,373,1602,0,1,2020.03
Bulgaria,BGR,5425,1,1,263,102,5057,0,1,2020.03
Bosnia and Herzegovina,BIH,734,1,1,4,133,586,8,1,2020.03
Belarus,BLR,3082,1,3,13,1545,1520,0,0,2020.03
Czech Republic,CZE,21673,1,7,25,6258,15382,0,0,2020.03
Estonia,EST,8191,1,0,0,4700,3489,0,1,2020.03
Georgia,GEO,236,1,8,74,152,0,0,1,2020.03
Croatia,HRV,8223,1,14,556,0,7651,0,1,2020.03
Hungary,HUN,7862,1,7,34,3168,4652,0,0,2020.03
Lithuania,LTU,1385,0,0,59,0,1324,0,2,2020.03
Latvia,LVA,1855,1,3,45,588,1217,0,1,2020.03
Moldova,MDA,2646,0,0,0,981,1665,0,0,2020.03
Macedonia,MKD,1552,1,2,79,0,1470,0,0,2020.03
Montenegro,MNE,225,1,23,2,0,198,0,1,2020.03
Poland,POL,43130,1,8,26,2478,40613,0,4,2020.03
Romania,ROU,18169,1,6,3180,73,14907,0,2,2020.03
Serbia,SRB,2124,0,0,0,233,1891,0,0,2020.03
Slovakia,SVK,7837,1,3,24,2925,4884,0,0,2020.03
Slovenia,SVN,6149,1,4,9,212,5922,0,1,2020.03
Ukraine,UKR,30566,2,0,0,11602,18955,0,7,2020.03
Kosovo,XKS,71,0,0,0,38,33,0,0,2020.03
Aruba,ABW,56,0,0,55,0,0,0,1,2020.03
Anguilla,AIA,17,1,14,0,0,0,0,2,2020.03
Antigua and Barbuda,ATG,10,0,7,0,0,1,0,2,2020.03
Bonaire Sint Eustasius and Saba,BES,5,0,3,0,0,1,0,1,2020.03
Bahamas,BHS,51,1,4,32,1,0,0,13,2020.03
Saint Barthelemy,BLM,18,1,0,0,0,16,0,1,2020.03
Belize,BLZ,300,1,5,30,263,0,0,1,2020.03
Bermuda,BMU,13,1,11,0,0,0,0,1,2020.03
Barbados,BRB,26,0,11,0,0,14,0,1,2020.03
Canada,CAN,11675,2,5,57,5113,1323,4993,182,2020.03
Clipperton Island,CPT,2,1,0,0,0,0,0,1,2020.03
Costa Rica,CRI,862,1,0,7,445,196,206,7,2020.03
Cuba,CUB,370,1,0,167,201,0,0,1,2020.03
Curaçoa,CUW,3,1,0,0,0,1,0,1,2020.03
Cayman Islands,CYM,9,1,6,0,0,0,0,2,2020.03
Dominica,DMA,14,1,10,0,0,2,0,1,2020.03
Dominican Republic,DOM,385,1,1,155,158,69,0,1,2020.03
Guadeloupe,GLP,236,1,0,32,202,0,0,1,2020.03
Grenada,GRD,20,0,3,7,9,0,0,1,2020.03
Greenland,GRL,12,0,6,0,0,0,0,6,2020.03
Guatemala,GTM,603,1,10,340,250,0,0,2,2020.03
Honduras,HND,581,1,12,298,268,0,0,2,2020.03
Haiti,HTI,182,1,0,0,144,36,0,1,2020.03
Jamaica,JAM,106,1,0,0,58,46,0,1,2020.03
Saint Kitts and Nevis,KNA,23,0,0,14,0,8,0,1,2020.03
Saint Lucia,LCA,15,1,10,0,0,3,0,1,2020.03
Saint Martin,MAF,10,1,0,0,0,8,0,1,2020.03
Mexico,MEX,80539,1,4,2440,1846,73139,3093,16,2020.03
Montserrat,MSR,6,1,3,0,0,1,0,1,2020.03
Martinique,MTQ,262,1,0,34,226,0,0,1,2020.03
Nicaragua,NIC,231,1,10,152,66,0,0,2,2020.03
Panama,PAN,808,1,0,0,578,227,0,2,2020.03
Puerto Rico,PRI,1405,0,0,0,818,587,0,0,2020.03
El Salvador,SLV,307,1,0,262,43,0,0,1,2020.03
Saint Pierre and Miquelon,SPM,2,1,0,0,0,0,0,1,2020.03
Sint Maarten,SXM,2,1,0,0,0,0,0,1,2020.03
Turks and Caicos Islands,TCA,1,0,0,0,0,0,0,1,2020.03
Trinidad and Tobago,TTO,37,1,21,0,0,13,0,2,2020.03
United States of America,USA,134048,1,0,213,36155,57713,36825,3141,2020.03
Saint Vincent and the Grenadines,VCT,17,1,0,13,2,0,0,1,2020.03
British Virgin Islands,VGB,6,0,5,0,0,0,0,1,2020.03
Virgin Islands,VIR,22,0,0,2,20,0,0,0,2020.03
American Samoa,ASM,85,1,3,0,77,0,0,4,2020.03
Australia,AUS,34007,6,9,510,21627,11814,0,41,2020.03
Cook Islands,COK,24,0,11,0,0,0,0,13,2020.03
Fiji,FJI,463,1,4,11,85,286,0,76,2020.03
Federated States of Micronesia,FSM,30,1,4,0,0,0,0,25,2020.03
Guam,GUM,19,0,0,0,19,0,0,0,2020.03
Kiribati,KIR,48,1,24,0,0,0,0,23,2020.03
Marshall Islands,MHL,49,1,34,0,0,0,0,14,2020.03
Northern Mariana Islands,MNP,18,1,4,0,0,0,0,13,2020.03
New Caledonia,NCL,59,1,0,33,0,0,0,25,2020.03
Norfolk Islands,NFK,2,0,1,0,0,0,0,1,2020.03
Niue,NIU,18,1,14,2,0,0,0,1,2020.03
Nauru,NRU,16,1,14,0,0,0,0,1,2020.03
New Zealand,NZL,3778,2,4,38,2557,1168,1,8,2020.03
Pitcairn Islands,PCN,9,1,4,0,0,0,0,4,2020.03
Palau,PLW,19,1,16,0,0,0,0,2,2020.03
Papua New Guinea,PNG,120,1,3,6,87,8,0,15,2020.03
French Polynesia,PYF,132,1,0,48,0,0,0,83,2020.03
Solomon Islands ,SLB,193,1,0,0,183,0,0,9,2020.03
Tokelau,TKL,7,1,3,0,0,0,0,3,2020.03
Tonga,TON,20,1,5,0,0,0,0,14,2020.03
Tuvalu,TUV,18,1,9,0,0,0,0,8,2020.03
United States Minor Outlying Islands,UMI,18,1,9,0,0,0,0,8,2020.03
Vanuatu,VUT,39,1,6,0,0,0,0,32,2020.03
Wallis and Futuna Islands,WLF,6,1,3,0,0,0,0,2,2020.03
Samoa,WSM,14,1,11,1,0,0,0,1,2020.03
Argentina,ARG,4184,1,5,501,2794,433,444,6,2020.03
Bolivia,BOL,1038,1,5,5,339,670,18,0,2020.03
Brazil,BRA,39508,1,9,5569,5917,16839,11159,14,2020.03
Chile,CHL,1194,1,2,9,326,787,57,12,2020.03
Colombia,COL,7523,0,2,1122,1131,5258,0,10,2020.03
Ecuador,ECU,2123,1,8,1038,0,1075,0,1,2020.03
Falkland Islands,FLK,2,1,0,0,0,0,0,1,2020.03
French Guiana,GUF,83,1,2,22,57,0,0,1,2020.03
Guyana,GUY,85,1,10,0,70,3,0,1,2020.03
Peru,PER,2147,1,9,10,1870,256,0,1,2020.03
Paraguay,PRY,625,1,7,255,0,293,69,0,2020.03
Suriname,SUR,164,1,8,60,94,0,0,1,2020.03
Uruguay,URY,392,1,3,129,0,199,59,1,2020.03
Venezuela,VEN,815,1,9,336,419,0,48,2,2020.03
Outer World Water,AN_,58,0,0,0,0,0,0,58,2020.03
Outer World Water,OAT,2,0,0,0,0,0,0,2,2020.03
Outer World Water,OBE,1,0,0,0,0,0,0,1,2020.03
Outer World Water,OCA,8,0,0,0,0,0,0,8,2020.03
Outer World Water,OCP,7,0,0,0,0,0,0,7,2020.03
Outer World Water,ODE,4,0,0,0,0,0,0,4,2020.03
Outer World Water,ODK,11,0,0,0,0,0,0,11,2020.03
Outer World Water,OES,3,0,0,0,0,0,0,3,2020.03
Outer World Water,OFI,2,0,0,0,0,0,0,2,2020.03
Outer World Water,OFR,3,0,0,0,0,0,0,3,2020.03
Outer World Water,OGB,2,0,0,0,0,0,0,2,2020.03
Outer World Water,OGR,1,0,0,0,0,0,0,1,2020.03
Outer World Water,OIE,1,0,0,0,0,0,0,1,2020.03
Outer World Water,OIN,12,0,0,0,0,0,0,12,2020.03
Outer World Water,OIT,1,0,0,0,0,0,0,1,2020.03
Outer World Water,OMX,11,0,0,0,0,0,0,11,2020.03
Outer World Water,ONL,1,0,0,0,0,0,0,1,2020.03
Outer World Water,ONO,2,0,0,0,0,0,0,2,2020.03
Outer World Water,OPA,8,0,0,0,0,0,0,8,2020.03
Outer World Water,OPL,1,0,0,0,0,0,0,1,2020.03
Outer World Water,OPT,1,0,0,0,0,0,0,1,2020.03
Outer World Water,ORU,15,0,0,0,0,0,0,15,2020.03
Outer World Water,OSE,5,0,0,0,0,0,0,5,2020.03
Outer World Water,OTR,3,0,0,0,0,0,0,3,2020.03
Outer World Water,OUA,4,0,0,0,0,0,0,4,2020.03
Outer World Water,OUP,1,0,0,0,0,0,0,1,2020.03
TOTAL,TOTAL,1569332,269,1155,28437,217455,887291,429459,5266,2020.03
